company_id,type,rule_id,text,confidence_pct
BAJAJ-AUTO,pro,PRO-08,Consistent dividend yield above 2% backed by positive free cash flow,68.0
BAJAJ-AUTO,pro,PRO-11,Revenue growing slower than profits shows improving operating leverage and scale benefits,61.2
BAJAJ-AUTO,con,CON-08,Rising debt-to-equity ratio over 3 years suggests increasing financial leverage risk,70.0
BAJAJFINSV,pro,PRO-01,Consistently high return on equity above 20% demonstrates exceptional capital efficiency,60.7
BAJAJFINSV,pro,PRO-04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,66.0
BAJAJFINSV,pro,PRO-05,Operating profit margin above 25% indicates strong pricing power and cost discipline,66.0
BAJAJFINSV,pro,PRO-06,Net profit compounding at above 20% over 5 years creates significant shareholder value,61.9
BAJAJFINSV,pro,PRO-09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,62.8
BAJAJFINSV,pro,PRO-11,Revenue growing slower than profits shows improving operating leverage and scale benefits,62.8
BAJAJFINSV,con,CON-02,Free cash flow negative for 3 consecutive years raises concern about cash generation quality,85.0
BAJAJHLDNG,pro,PRO-04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,76.6
BAJAJHLDNG,pro,PRO-05,Operating profit margin above 25% indicates strong pricing power and cost discipline,93.4
BAJAJHLDNG,pro,PRO-07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,100.0
BAJAJHLDNG,pro,PRO-08,Consistent dividend yield above 2% backed by positive free cash flow,66.8
BAJAJHLDNG,pro,PRO-09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,62.0
BAJAJHLDNG,pro,PRO-10,Return on equity improving for 3 consecutive years shows strengthening business quality,75.0
BAJAJHLDNG,con,FALLBACK-CON,"No single metric triggers a high-confidence concern, but leverage relative to peers is worth monitoring",45.0
BAJFINANCE,pro,PRO-04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,69.4
BAJFINANCE,pro,PRO-05,Operating profit margin above 25% indicates strong pricing power and cost discipline,62.1
BAJFINANCE,pro,PRO-06,Net profit compounding at above 20% over 5 years creates significant shareholder value,64.7
BAJFINANCE,pro,PRO-07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,100.0
BAJFINANCE,pro,PRO-09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,66.3
BAJFINANCE,pro,PRO-11,Revenue growing slower than profits shows improving operating leverage and scale benefits,65.0
BAJFINANCE,con,CON-02,Free cash flow negative for 3 consecutive years raises concern about cash generation quality,85.0
BAJFINANCE,con,CON-03,Operating margins declining for 3 consecutive years suggest pricing or cost pressure,70.0
BAJFINANCE,con,CON-10,Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital,65.6
BAJFINANCE,con,CON-11,Net debt exceeding 3 times EBITDA is a high leverage ratio and limits financial flexibility,80.0
BANKBARODA,pro,PRO-04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,62.5
BANKBARODA,pro,PRO-05,Operating profit margin above 25% indicates strong pricing power and cost discipline,66.2
BANKBARODA,pro,PRO-06,Net profit compounding at above 20% over 5 years creates significant shareholder value,87.3
BANKBARODA,pro,PRO-09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,80.1
BANKBARODA,pro,PRO-10,Return on equity improving for 3 consecutive years shows strengthening business quality,75.0
BANKBARODA,pro,PRO-11,Revenue growing slower than profits shows improving operating leverage and scale benefits,100.0
BANKBARODA,con,CON-03,Operating margins declining for 3 consecutive years suggest pricing or cost pressure,70.0
BANKBARODA,con,CON-10,Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital,67.2
BANKBARODA,con,CON-11,Net debt exceeding 3 times EBITDA is a high leverage ratio and limits financial flexibility,80.0
BEL,pro,PRO-01,Consistently high return on equity above 20% demonstrates exceptional capital efficiency,100.0
BEL,pro,PRO-07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,100.0
BEL,pro,PRO-10,Return on equity improving for 3 consecutive years shows strengthening business quality,75.0
BEL,pro,PRO-11,Revenue growing slower than profits shows improving operating leverage and scale benefits,65.4
BEL,con,FALLBACK-CON,"No single metric triggers a high-confidence concern, but leverage relative to peers is worth monitoring",45.0
BHARTIARTL,pro,PRO-05,Operating profit margin above 25% indicates strong pricing power and cost discipline,73.6
BHARTIARTL,pro,PRO-06,Net profit compounding at above 20% over 5 years creates significant shareholder value,69.2
BHARTIARTL,pro,PRO-09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,86.0
BHARTIARTL,pro,PRO-11,Revenue growing slower than profits shows improving operating leverage and scale benefits,85.2
BHARTIARTL,con,CON-01,Debt-to-equity ratio of 2.61 is elevated for a non-financial company and warrants monitoring,63.0
BHEL,con,CON-08,Rising debt-to-equity ratio over 3 years suggests increasing financial leverage risk,70.0
BHEL,con,CON-10,Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital,66.0
BHEL,con,CON-11,Net debt exceeding 3 times EBITDA is a high leverage ratio and limits financial flexibility,80.0
BHEL,con,CON-12,Revenue growing at below 5% over 5 years lags inflation and suggests limited business momentum,69.7
BHEL,pro,FALLBACK-PRO,"Operating margin of 3.0% is the company's most favorable metric among those tracked, though it does not clear a high-confidence threshold",45.0
BOSCHLTD,pro,PRO-02,Strong free cash flow generation over 5 years signals healthy business fundamentals,85.0
BOSCHLTD,pro,PRO-07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,100.0
BOSCHLTD,pro,PRO-08,Consistent dividend yield above 2% backed by positive free cash flow,71.2
BOSCHLTD,pro,PRO-10,Return on equity improving for 3 consecutive years shows strengthening business quality,75.0
BOSCHLTD,pro,PRO-11,Revenue growing slower than profits shows improving operating leverage and scale benefits,62.6
BOSCHLTD,con,FALLBACK-CON,"No single metric triggers a high-confidence concern, but leverage relative to peers is worth monitoring",45.0
BPCL,pro,PRO-06,Net profit compounding at above 20% over 5 years creates significant shareholder value,62.9
BPCL,pro,PRO-07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,61.4
BPCL,pro,PRO-09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,66.5
BPCL,pro,PRO-11,Revenue growing slower than profits shows improving operating leverage and scale benefits,77.3
BPCL,con,FALLBACK-CON,"No single metric triggers a high-confidence concern, but leverage relative to peers is worth monitoring",45.0
BRITANNIA,pro,PRO-01,Consistently high return on equity above 20% demonstrates exceptional capital efficiency,94.1
BRITANNIA,pro,PRO-07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,70.6
BRITANNIA,pro,PRO-11,Revenue growing slower than profits shows improving operating leverage and scale benefits,64.4
BRITANNIA,pro,PRO-12,Growing asset base funded by internal accruals reflects self-sustaining growth,65.0
BRITANNIA,con,FALLBACK-CON,"No single metric triggers a high-confidence concern, but leverage relative to peers is worth monitoring",45.0
CANBK,pro,PRO-04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,63.2
CANBK,pro,PRO-05,Operating profit margin above 25% indicates strong pricing power and cost discipline,68.4
CANBK,pro,PRO-06,Net profit compounding at above 20% over 5 years creates significant shareholder value,92.9
CANBK,pro,PRO-08,Consistent dividend yield above 2% backed by positive free cash flow,69.0
CANBK,pro,PRO-09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,79.2
CANBK,pro,PRO-10,Return on equity improving for 3 consecutive years shows strengthening business quality,75.0
CANBK,pro,PRO-11,Revenue growing slower than profits shows improving operating leverage and scale benefits,100.0
CANBK,con,CON-03,Operating margins declining for 3 consecutive years suggest pricing or cost pressure,70.0
CANBK,con,CON-10,Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital,66.8
CANBK,con,CON-11,Net debt exceeding 3 times EBITDA is a high leverage ratio and limits financial flexibility,80.0
CHOLAFIN,pro,PRO-04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,66.9
CHOLAFIN,pro,PRO-05,Operating profit margin above 25% indicates strong pricing power and cost discipline,61.6
CHOLAFIN,pro,PRO-06,Net profit compounding at above 20% over 5 years creates significant shareholder value,61.7
CHOLAFIN,pro,PRO-07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,71.2
CHOLAFIN,pro,PRO-09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,63.6
CHOLAFIN,pro,PRO-11,Revenue growing slower than profits shows improving operating leverage and scale benefits,61.4
CHOLAFIN,con,CON-02,Free cash flow negative for 3 consecutive years raises concern about cash generation quality,85.0
CHOLAFIN,con,CON-03,Operating margins declining for 3 consecutive years suggest pricing or cost pressure,70.0
CHOLAFIN,con,CON-10,Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital,66.5
CHOLAFIN,con,CON-11,Net debt exceeding 3 times EBITDA is a high leverage ratio and limits financial flexibility,80.0
CIPLA,pro,PRO-02,Strong free cash flow generation over 5 years signals healthy business fundamentals,85.0
CIPLA,pro,PRO-05,Operating profit margin above 25% indicates strong pricing power and cost discipline,85.3
CIPLA,pro,PRO-06,Net profit compounding at above 20% over 5 years creates significant shareholder value,61.4
CIPLA,pro,PRO-07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,85.3
CIPLA,pro,PRO-09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,63.4
CIPLA,pro,PRO-11,Revenue growing slower than profits shows improving operating leverage and scale benefits,73.2
CIPLA,pro,PRO-12,Growing asset base funded by internal accruals reflects self-sustaining growth,65.0
CIPLA,con,CON-03,Operating margins declining for 3 consecutive years suggest pricing or cost pressure,70.0
COALINDIA,pro,PRO-01,Consistently high return on equity above 20% demonstrates exceptional capital efficiency,80.3
COALINDIA,pro,PRO-02,Strong free cash flow generation over 5 years signals healthy business fundamentals,85.0
COALINDIA,pro,PRO-05,Operating profit margin above 25% indicates strong pricing power and cost discipline,80.6
COALINDIA,pro,PRO-07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,61.2
COALINDIA,pro,PRO-08,Consistent dividend yield above 2% backed by positive free cash flow,71.9
COALINDIA,pro,PRO-09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,60.9
COALINDIA,pro,PRO-11,Revenue growing slower than profits shows improving operating leverage and scale benefits,69.0
COALINDIA,con,CON-03,Operating margins declining for 3 consecutive years suggest pricing or cost pressure,70.0
DABUR,pro,PRO-02,Strong free cash flow generation over 5 years signals healthy business fundamentals,85.0
DABUR,pro,PRO-07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,73.2
DABUR,pro,PRO-08,Consistent dividend yield above 2% backed by positive free cash flow,67.1
DABUR,con,CON-08,Rising debt-to-equity ratio over 3 years suggests increasing financial leverage risk,70.0
DIVISLAB,pro,PRO-05,Operating profit margin above 25% indicates strong pricing power and cost discipline,61.6
DIVISLAB,pro,PRO-07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,100.0
DIVISLAB,pro,PRO-12,Growing asset base funded by internal accruals reflects self-sustaining growth,65.0
DIVISLAB,con,CON-03,Operating margins declining for 3 consecutive years suggest pricing or cost pressure,70.0
DIVISLAB,con,CON-09,Earnings per share declining for 3 consecutive years reflects deteriorating profitability,75.0
DLF,pro,PRO-02,Strong free cash flow generation over 5 years signals healthy business fundamentals,85.0
DLF,pro,PRO-05,Operating profit margin above 25% indicates strong pricing power and cost discipline,64.0
DLF,pro,PRO-08,Consistent dividend yield above 2% backed by positive free cash flow,62.9
DLF,pro,PRO-10,Return on equity improving for 3 consecutive years shows strengthening business quality,75.0
DLF,con,CON-10,Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital,64.0
DLF,con,CON-12,Revenue growing at below 5% over 5 years lags inflation and suggests limited business momentum,70.1
DMART,pro,PRO-04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,65.5
DMART,pro,PRO-06,Net profit compounding at above 20% over 5 years creates significant shareholder value,61.5
DMART,pro,PRO-07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,100.0
DMART,pro,PRO-09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,63.9
DMART,pro,PRO-11,Revenue growing slower than profits shows improving operating leverage and scale benefits,62.5
DMART,con,FALLBACK-CON,"No single metric triggers a high-confidence concern, but leverage relative to peers is worth monitoring",45.0
DRREDDY,pro,PRO-02,Strong free cash flow generation over 5 years signals healthy business fundamentals,85.0
DRREDDY,pro,PRO-05,Operating profit margin above 25% indicates strong pricing power and cost discipline,61.7
DRREDDY,pro,PRO-06,Net profit compounding at above 20% over 5 years creates significant shareholder value,61.7
DRREDDY,pro,PRO-07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,100.0
DRREDDY,pro,PRO-09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,64.4
DRREDDY,pro,PRO-10,Return on equity improving for 3 consecutive years shows strengthening business quality,75.0
DRREDDY,pro,PRO-11,Revenue growing slower than profits shows improving operating leverage and scale benefits,70.8
DRREDDY,con,FALLBACK-CON,"No single metric triggers a high-confidence concern, but leverage relative to peers is worth monitoring",45.0
EICHERMOT,pro,PRO-02,Strong free cash flow generation over 5 years signals healthy business fundamentals,85.0
EICHERMOT,pro,PRO-05,Operating profit margin above 25% indicates strong pricing power and cost discipline,60.6
EICHERMOT,pro,PRO-07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,100.0
EICHERMOT,pro,PRO-08,Consistent dividend yield above 2% backed by positive free cash flow,72.0
EICHERMOT,pro,PRO-10,Return on equity improving for 3 consecutive years shows strengthening business quality,75.0
EICHERMOT,pro,PRO-11,Revenue growing slower than profits shows improving operating leverage and scale benefits,61.6
EICHERMOT,pro,PRO-12,Growing asset base funded by internal accruals reflects self-sustaining growth,65.0
EICHERMOT,con,CON-08,Rising debt-to-equity ratio over 3 years suggests increasing financial leverage risk,70.0
GAIL,pro,PRO-07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,73.6
GAIL,con,CON-08,Rising debt-to-equity ratio over 3 years suggests increasing financial leverage risk,70.0
GODREJCP,con,CON-04,Company reported a net loss in the most recent financial year,90.0
GODREJCP,con,CON-10,Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital,65.3
GODREJCP,pro,FALLBACK-PRO,"Operating margin of 21.0% is the company's most favorable metric among those tracked, though it does not clear a high-confidence threshold",45.0
GRASIM,pro,PRO-06,Net profit compounding at above 20% over 5 years creates significant shareholder value,64.7
GRASIM,pro,PRO-09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,66.4
GRASIM,pro,PRO-11,Revenue growing slower than profits shows improving operating leverage and scale benefits,78.2
GRASIM,con,CON-08,Rising debt-to-equity ratio over 3 years suggests increasing financial leverage risk,70.0
GRASIM,con,CON-09,Earnings per share declining for 3 consecutive years reflects deteriorating profitability,75.0
HAL,pro,PRO-01,Consistently high return on equity above 20% demonstrates exceptional capital efficiency,100.0
HAL,pro,PRO-05,Operating profit margin above 25% indicates strong pricing power and cost discipline,63.5
HAL,pro,PRO-06,Net profit compounding at above 20% over 5 years creates significant shareholder value,63.2
HAL,pro,PRO-07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,100.0
HAL,pro,PRO-08,Consistent dividend yield above 2% backed by positive free cash flow,63.9
HAL,pro,PRO-09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,65.8
HAL,pro,PRO-11,Revenue growing slower than profits shows improving operating leverage and scale benefits,77.8
HAL,con,CON-08,Rising debt-to-equity ratio over 3 years suggests increasing financial leverage risk,70.0
HAVELLS,pro,PRO-07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,75.4
HAVELLS,pro,PRO-08,Consistent dividend yield above 2% backed by positive free cash flow,63.0
HAVELLS,con,FALLBACK-CON,"No single metric triggers a high-confidence concern, but leverage relative to peers is worth monitoring",45.0
HCLTECH,pro,PRO-01,Consistently high return on equity above 20% demonstrates exceptional capital efficiency,61.8
HCLTECH,pro,PRO-02,Strong free cash flow generation over 5 years signals healthy business fundamentals,85.0
HCLTECH,pro,PRO-07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,96.5
HCLTECH,pro,PRO-10,Return on equity improving for 3 consecutive years shows strengthening business quality,75.0
HCLTECH,pro,PRO-12,Growing asset base funded by internal accruals reflects self-sustaining growth,65.0
HCLTECH,con,CON-03,Operating margins declining for 3 consecutive years suggest pricing or cost pressure,70.0
HDFCBANK,pro,PRO-04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,67.0
HDFCBANK,pro,PRO-05,Operating profit margin above 25% indicates strong pricing power and cost discipline,78.2
HDFCBANK,pro,PRO-06,Net profit compounding at above 20% over 5 years creates significant shareholder value,61.9
HDFCBANK,pro,PRO-08,Consistent dividend yield above 2% backed by positive free cash flow,71.7
HDFCBANK,pro,PRO-09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,60.2
HDFCBANK,pro,PRO-11,Revenue growing slower than profits shows improving operating leverage and scale benefits,61.9
HDFCBANK,con,CON-06,Interest coverage ratio below 1.5x indicates the company is at risk of not meeting its debt obligations,85.0
HDFCBANK,con,CON-10,Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital,65.1
HDFCBANK,con,CON-11,Net debt exceeding 3 times EBITDA is a high leverage ratio and limits financial flexibility,80.0
HDFCLIFE,pro,PRO-04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,66.2
HDFCLIFE,pro,PRO-05,Operating profit margin above 25% indicates strong pricing power and cost discipline,97.2
HDFCLIFE,pro,PRO-07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,100.0
HDFCLIFE,pro,PRO-10,Return on equity improving for 3 consecutive years shows strengthening business quality,75.0
HDFCLIFE,pro,PRO-12,Growing asset base funded by internal accruals reflects self-sustaining growth,65.0
HDFCLIFE,con,FALLBACK-CON,"No single metric triggers a high-confidence concern, but leverage relative to peers is worth monitoring",45.0
HEROMOTOCO,pro,PRO-02,Strong free cash flow generation over 5 years signals healthy business fundamentals,85.0
HEROMOTOCO,pro,PRO-05,Operating profit margin above 25% indicates strong pricing power and cost discipline,90.6
HEROMOTOCO,pro,PRO-07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,97.3
HEROMOTOCO,pro,PRO-10,Return on equity improving for 3 consecutive years shows strengthening business quality,75.0
HEROMOTOCO,pro,PRO-12,Growing asset base funded by internal accruals reflects self-sustaining growth,65.0
HEROMOTOCO,con,CON-03,Operating margins declining for 3 consecutive years suggest pricing or cost pressure,70.0
HEROMOTOCO,con,CON-12,Revenue growing at below 5% over 5 years lags inflation and suggests limited business momentum,62.8
HINDALCO,pro,PRO-05,Operating profit margin above 25% indicates strong pricing power and cost discipline,92.0
HINDALCO,pro,PRO-07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,100.0
HINDALCO,pro,PRO-11,Revenue growing slower than profits shows improving operating leverage and scale benefits,62.5
HINDALCO,pro,PRO-12,Growing asset base funded by internal accruals reflects self-sustaining growth,65.0
HINDALCO,con,FALLBACK-CON,"No single metric triggers a high-confidence concern, but leverage relative to peers is worth monitoring",45.0
HINDUNILVR,pro,PRO-02,Strong free cash flow generation over 5 years signals healthy business fundamentals,85.0
HINDUNILVR,pro,PRO-05,Operating profit margin above 25% indicates strong pricing power and cost discipline,85.7
HINDUNILVR,pro,PRO-07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,100.0
HINDUNILVR,pro,PRO-08,Consistent dividend yield above 2% backed by positive free cash flow,71.6
HINDUNILVR,pro,PRO-11,Revenue growing slower than profits shows improving operating leverage and scale benefits,61.6
HINDUNILVR,con,CON-08,Rising debt-to-equity ratio over 3 years suggests increasing financial leverage risk,70.0
ICICIBANK,pro,PRO-04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,62.3
ICICIBANK,pro,PRO-05,Operating profit margin above 25% indicates strong pricing power and cost discipline,78.7
ICICIBANK,pro,PRO-06,Net profit compounding at above 20% over 5 years creates significant shareholder value,76.0
ICICIBANK,pro,PRO-08,Consistent dividend yield above 2% backed by positive free cash flow,67.2
ICICIBANK,pro,PRO-09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,80.1
ICICIBANK,pro,PRO-10,Return on equity improving for 3 consecutive years shows strengthening business quality,75.0
ICICIBANK,pro,PRO-11,Revenue growing slower than profits shows improving operating leverage and scale benefits,94.7
ICICIBANK,con,CON-03,Operating margins declining for 3 consecutive years suggest pricing or cost pressure,70.0
ICICIBANK,con,CON-06,Interest coverage ratio below 1.5x indicates the company is at risk of not meeting its debt obligations,85.0
ICICIBANK,con,CON-10,Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital,64.8
ICICIBANK,con,CON-11,Net debt exceeding 3 times EBITDA is a high leverage ratio and limits financial flexibility,80.0
ICICIGI,pro,PRO-02,Strong free cash flow generation over 5 years signals healthy business fundamentals,85.0
ICICIGI,pro,PRO-05,Operating profit margin above 25% indicates strong pricing power and cost discipline,91.2
ICICIGI,pro,PRO-07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,100.0
ICICIGI,pro,PRO-08,Consistent dividend yield above 2% backed by positive free cash flow,67.3
ICICIGI,pro,PRO-12,Growing asset base funded by internal accruals reflects self-sustaining growth,65.0
ICICIGI,con,CON-03,Operating margins declining for 3 consecutive years suggest pricing or cost pressure,70.0
